Team,R,G,B,HexColor,Division
LAA,255,0,0,#FF0000,West
ARI,192,0,0,#C00000,West
ATL,234,170,0,#eaaa00,East
BAL,251,106,17,#FB6A11,East
BOS,192,0,0,#C00000,East
CHC,47,117,181,#2F75B5,Central
CHW,165,165,165,#A5A5A5,Central
CIN,255,0,0,#FF0000,Central
CLE,192,0,0,#C00000,Central
COL,0,0,0,#000000,West
DET,34,43,53,#222B35,Central
MIA,0,0,0,#000000,East
HOU,238,215,150,#EED796,West
KCR,47,117,181,#2F75B5,Central
LAD,48,84,150,#305496,West
MIL,0,0,0,#000000,Central
MIN,255,0,0,#FF0000,Central
WSN,210,0,0,#D20000,East
NYM,251,106,17,#FB6A11,East
NYY,0,0,0,#000000,East
OAK,55,86,35,#375623,West
PHI,31,78,120,#1F4E78,East
PIT,191,143,0,#BF8F00,Central
SDP,191,143,0,#BF8F00,West
SEA,34,43,53,#222B35,West
SFG,251,106,17,#FB6A11,West
STL,210,0,0,#D20000,Central
TBR,31,78,120,#1F4E78,East
TEX,48,84,150,#305496,West
TOR,47,117,181,#2F75B5,East
