"","Tm","Max(date)","min(date)","count(*)"
"1","ANA",12695,9952,1656
"2","ARI",19268,10316,4666
"3","ATL",19268,7403,6052
"4","BAL",19268,7403,6052
"5","BOS",19268,7403,6052
"6","CAL",9769,7403,1204
"7","CHC",19268,7403,6052
"8","CHW",19268,7403,6052
"9","CIN",19268,7403,6052
"10","CLE",19268,7403,6052
"11","COL",19268,8495,5507
"12","DET",19268,7403,6052
"13","FLA",15246,8495,3602
"14","HOU",19268,7403,6052
"15","KCR",19268,7403,6052
"16","LAA",19268,12877,3192
"17","LAD",19268,7403,6052
"18","MIA",19268,15435,1905
"19","MIL",19268,7403,6052
"20","MIN",19268,7403,6052
"21","MON",12695,7403,2860
"22","NYM",19268,7403,6052
"23","NYY",19268,7403,6052
"24","OAK",19268,7403,6052
"25","PHI",19268,7403,6052
"26","PIT",19268,7403,6052
"27","SDP",19268,7403,6052
"28","SEA",19268,7403,6052
"29","SFG",19268,7403,6052
"30","STL",19268,7403,6052
"31","TBD",13788,10316,2024
"32","TBR",19268,13968,2642
"33","TEX",19268,7403,6052
"34","TOR",19268,7403,6052
"35","WSN",19268,12877,3192
