"","Year","min(date)","max(date)","count(distinct date)"
"1",1990,7403,7581,179
"2",1991,7767,7949,183
"3",1992,8131,8313,183
"4",1993,8495,8677,183
"5",1994,8859,8989,131
"6",1995,9245,9406,162
"7",1996,9587,9769,183
"8",1997,9952,10133,182
"9",1998,10316,10498,183
"10",1999,10686,10869,184
"11",2000,11049,11232,184
"12",2001,11414,11603,190
"13",2002,11778,11960,183
"14",2003,12142,12324,183
"15",2004,12513,12695,183
"16",2005,12877,13059,183
"17",2006,13241,13423,183
"18",2007,13605,13788,184
"19",2008,13968,14153,186
"20",2009,14340,14524,185
"21",2010,14704,14886,183
"22",2011,15064,15246,183
"23",2012,15435,15617,183
"24",2013,15796,15979,184
"25",2014,16160,16342,183
"26",2015,16531,16713,183
"27",2016,16894,17077,184
"28",2017,17259,17441,183
"29",2018,17621,17806,186
"30",2019,17986,18169,184
"31",2020,18466,18533,68
"32",2021,18718,18904,187
"33",2022,19089,19268,180
